,mean,median,std,skew,kurtosis
Primer Premio,8.444883475335235,,155.56632800920218,18.69000207406887,351.1220655751692
Segundo Premio,-2.765747585228163,,70.95265698902688,-17.86680484387181,330.2467645423911
Tercer Premio,-2.6059613582657093,,94.4390119524004,-18.17986408445351,338.89951907218136
Cuarto Premio,-2.412349983041913,,76.35165873328808,-16.333645345984703,299.82154177195184
Quinto Premio,-2.557045665747968,,49.52893351084644,-14.802989884934469,243.66350139757014
Ventas Totales,1.0,,0.0,,
